Recorded On,Activity Date,Start Time,Finish Time,Distance,Duration,Max Speed
2020-12-08 16:40:56,2020-12-08,16:40:56,17:00:21,3.815,1165.0,31.5
2020-12-09 17:16:54,2020-12-09,17:16:54,17:48:32,2.219,1898.0,33.51
2020-12-13 12:38:12,2020-12-13,12:38:12,12:53:05,3.182,893.0,31.19
2020-12-17 08:18:33,2020-12-17,08:18:33,08:29:03,2.278,630.0,29.49
2020-12-17 14:16:20,2020-12-17,14:16:20,14:48:04,5.789,1904.0,29.9
2020-12-17 15:01:44,2020-12-17,15:01:44,15:18:55,3.956,1031.0,32.76
2021-01-06 12:12:26,2021-01-06,12:12:26,13:16:19,8.173,3833.0,32.84
2021-01-08 12:00:57,2021-01-08,12:00:57,12:42:02,6.761,2465.0,31.65
2021-01-09 16:39:24,2021-01-09,16:39:24,17:00:38,6.266,1274.0,132.64
2021-01-14 12:42:43,2021-01-14,12:42:43,13:16:19,6.72,2016.0,36.98
2021-01-15 16:25:04,2021-01-15,16:25:04,16:46:08,5.522,1264.0,34.68
2021-01-19 14:32:44,2021-01-19,14:32:44,14:38:52,0.959,368.0,31.46
2021-01-19 14:43:49,2021-01-19,14:43:49,15:16:19,6.515,1950.0,33.66
2021-01-21 13:45:01,2021-01-21,13:45:01,14:18:37,5.138,2016.0,33.65
2021-01-27 10:27:25,2021-01-27,10:27:25,10:35:22,2.765,477.0,41.95
2021-01-27 11:28:54,2021-01-27,11:28:54,12:08:16,5.59,2362.0,42.02
2021-01-28 16:05:19,2021-01-28,16:05:19,16:26:32,3.301,1273.0,33.89
2021-01-28 16:53:46,2021-01-28,16:53:46,17:06:28,3.135,762.0,30.73
2021-01-29 16:57:05,2021-01-29,16:57:05,17:16:56,2.698,1191.0,27.58
2021-02-04 16:16:14,2021-02-04,16:16:14,17:01:05,4.086,2691.0,31.93
2021-02-04 17:02:08,2021-02-04,17:02:08,17:15:27,3.495,799.0,37.07
2021-02-05 16:41:12,2021-02-05,16:41:12,17:14:50,7.165,2018.0,36.46
2021-02-06 13:29:49,2021-02-06,13:29:49,13:48:26,2.584,1117.0,34.2
2021-02-15 16:20:03,2021-02-15,16:20:03,16:43:37,3.845,1414.0,34.33
2021-02-15 16:54:19,2021-02-15,16:54:19,17:07:22,3.609,783.0,37.9
2021-02-18 16:30:09,2021-02-18,16:30:09,16:45:57,3.331,948.0,48.41
2021-02-18 16:54:34,2021-02-18,16:54:34,17:06:20,3.311,706.0,36.07
2021-02-19 16:21:03,2021-02-19,16:21:03,16:52:51,3.492,1908.0,33.0
2021-02-19 16:55:35,2021-02-19,16:55:35,17:07:08,2.972,693.0,30.39
2021-03-04 12:23:40,2021-03-04,12:23:40,12:37:28,2.35,828.0,31.93
2021-03-08 08:22:49,2021-03-08,08:22:49,08:31:15,2.483,506.0,37.23
2021-03-08 16:48:07,2021-03-08,16:48:07,17:02:42,5.026,875.0,30.64
2021-03-08 17:13:42,2021-03-08,17:13:42,17:24:58,1.696,676.0,34.22
2021-03-09 08:20:36,2021-03-09,08:20:36,08:30:06,2.304,570.0,36.13
2021-03-09 13:43:19,2021-03-09,13:43:19,14:05:12,6.449,1313.0,37.31
2021-03-11 08:29:04,2021-03-11,08:29:04,08:38:54,2.315,590.0,26.52
2021-03-11 16:56:07,2021-03-11,16:56:07,17:07:49,3.365,702.0,33.18
2021-03-15 10:24:18,2021-03-15,10:24:18,10:32:03,2.31,465.0,28.76
2021-03-15 17:33:11,2021-03-15,17:33:11,17:44:44,3.345,693.0,34.01
2021-03-16 08:18:05,2021-03-16,08:18:05,08:27:37,2.324,572.0,31.72
2021-03-16 17:24:32,2021-03-16,17:24:32,17:46:02,6.462,1290.0,37.63
2021-03-18 08:14:53,2021-03-18,08:14:53,08:24:35,2.354,582.0,29.4
2021-03-18 17:28:52,2021-03-18,17:28:52,17:40:51,3.459,719.0,35.05
2021-03-19 11:43:44,2021-03-19,11:43:44,11:53:10,2.405,566.0,51.56
2021-03-19 16:34:46,2021-03-19,16:34:46,16:52:46,5.627,1080.0,34.78
2021-03-22 21:23:17,2021-03-22,21:23:17,21:38:03,3.409,886.0,28.35
2021-03-23 08:25:53,2021-03-23,08:25:53,08:35:25,2.255,572.0,29.4
2021-03-23 16:40:47,2021-03-23,16:40:47,17:00:11,5.503,1164.0,31.85
2021-03-25 08:27:55,2021-03-25,08:27:55,08:37:25,2.296,570.0,41.93
2021-03-25 17:29:00,2021-03-25,17:29:00,17:47:05,5.417,1085.0,32.64
2021-03-26 08:15:11,2021-03-26,08:15:11,08:24:33,2.268,562.0,43.8
2021-03-26 16:23:55,2021-03-26,16:23:55,16:41:37,5.511,1062.0,34.16
2021-03-29 09:34:00,2021-03-29,09:34:00,09:42:10,2.33,490.0,33.31
2021-03-29 16:33:32,2021-03-29,16:33:32,16:50:26,5.399,1014.0,31.64
2021-03-30 07:11:44,2021-03-30,07:11:44,07:21:53,2.392,609.0,28.21
2021-04-02 14:23:31,2021-04-02,14:23:31,14:38:10,2.168,879.0,55.9
2021-04-07 14:29:29,2021-04-07,14:29:29,14:47:33,2.874,1084.0,34.66
2021-04-07 15:01:09,2021-04-07,15:01:09,15:24:45,1.217,1416.0,18.03
2021-04-07 15:25:25,2021-04-07,15:25:25,15:38:03,3.595,758.0,38.32
2021-04-08 12:31:23,2021-04-08,12:31:23,12:43:07,2.948,704.0,33.65
2021-04-08 12:53:23,2021-04-08,12:53:23,13:09:53,3.491,990.0,42.41
2021-04-09 16:16:42,2021-04-09,16:16:42,16:29:38,3.121,776.0,46.42
2021-04-09 16:37:55,2021-04-09,16:37:55,16:50:44,3.507,769.0,35.69
2021-04-15 10:41:41,2021-04-15,10:41:41,11:08:14,7.623,1593.0,60.92
2021-04-16 15:55:21,2021-04-16,15:55:21,16:05:12,2.591,591.0,37.16
2021-04-16 16:19:15,2021-04-16,16:19:15,16:31:03,2.908,708.0,34.21
2021-04-19 07:16:03,2021-04-19,07:16:03,07:27:51,2.257,708.0,29.8
2021-04-19 16:48:19,2021-04-19,16:48:19,17:01:55,3.733,816.0,35.99
2021-04-20 07:14:22,2021-04-20,07:14:22,07:24:03,2.283,581.0,28.19
2021-04-20 13:23:38,2021-04-20,13:23:38,13:40:12,5.317,994.0,35.12
2021-04-22 07:14:44,2021-04-22,07:14:44,07:24:35,2.268,591.0,26.31
2021-04-22 15:16:14,2021-04-22,15:16:14,15:30:23,3.307,849.0,33.1
